1,"lateralMovementSSHTunnel('intergalactic-hacker','alpine-3.18-openvpn-1','storage-server-1')","OR",0
2,"RULE 28 (SSH Tunneling and Credential Reuse to Internal Office Server)","AND",0
3,"hasAccount('alice-backup','storage-server-1','user-backup-account')","LEAF",1
4,"networkService('storage-server-1',_,sftpd,'22','user-backup-account')","LEAF",1
5,"dataFlow('FLE4N','storage-server-1',_,_)","LEAF",1
6,"dataFlow('FLE4N','alpine-3.18-openvpn-1',_,_)","LEAF",1
7,"lateralMovementVPN('intergalactic-hacker','intergalactic-vpn','alpine-3.18-openvpn-1')","OR",0
8,"RULE 20 (Lateral movement over VPN network.)","AND",0
9,"canAccessVPN('intergalactic-hacker','intergalactic-vpn')","OR",0
10,"RULE 19 (VPN network access.)","AND",0
11,"canCreateValidVPNCertificate('intergalactic-hacker','intergalactic-vpn')","OR",0
12,"RULE 18 (Can create/forge intergalactic-web-ui certificate.)","AND",0
13,"softwareCompromisedLocally('intergalactic-vpn')","OR",0
14,"RULE 17 (Privilege escalation due to locally compromised software.)","AND",0
15,"vulExists('cve-zero-day-web-ui-execute-code-1337','intergalactic-web-ui','0.1.0rc0',local,privilege_escalation,critical)","LEAF",1
16,"hasAccount(root,'intergalactic-vpn','operating-system-administration-account')","LEAF",1
17,"residesOn('intergalactic-vpn','intergalactic-web-ui','0.1.0rc0')","LEAF",1
18,"compromisedVPNClient('alpine-3.18-openvpn-1','intergalactic-vpn')","OR",0
19,"RULE 14 (Host compromised.)","AND",0
20,"softwareCompromisedRemotely('alpine-3.18-openvpn-1','intergalactic-vpn')","OR",0
21,"RULE 16 (Software compromised via remote vulnerability.)","AND",0
22,"vulExists('cve-2023-27524','intergalactic-web-ui','2.4.12',network,ca_loss,critical)","LEAF",1
23,"residesOn('intergalactic-vpn','intergalactic-web-ui','2.4.12')","LEAF",1
24,"networkService('intergalactic-vpn','intergalactic-web-ui',udp,'1194',root)","LEAF",1
25,"netAccess(alice,'alpine-3.18-openvpn-1','intergalactic-vpn',udp,'1194')","OR",0
26,"RULE 5 (Net direct access)","AND",0
27,"hasAccess(alice,'alpine-3.18-openvpn-1','intergalactic-vpn',udp,'1194')","LEAF",1
28,"RULE 17 (Privilege escalation due to locally compromised software.)","AND",0
29,"compromisedVPNClient('intergalactic-hacker','intergalactic-vpn')","OR",0
30,"RULE 14 (Host compromised.)","AND",0
31,"softwareCompromisedRemotely('intergalactic-hacker','intergalactic-vpn')","OR",0
32,"RULE 16 (Software compromised via remote vulnerability.)","AND",0
33,"networkService('intergalactic-vpn','intergalactic-web-ui',http,'80',root)","LEAF",1
34,"netAccess(hacker,'intergalactic-hacker','intergalactic-vpn',http,'80')","OR",0
35,"RULE 5 (Net direct access)","AND",0
36,"hasAccess(hacker,'intergalactic-hacker','intergalactic-vpn',http,'80')","LEAF",1
37,"RULE 16 (Software compromised via remote vulnerability.)","AND",0
38,"netAccess(hacker,'intergalactic-hacker','intergalactic-vpn',udp,'1194')","OR",0
39,"RULE 5 (Net direct access)","AND",0
40,"hasAccess(hacker,'intergalactic-hacker','intergalactic-vpn',udp,'1194')","LEAF",1
41,"RULE 18 (Can create/forge intergalactic-web-ui certificate.)","AND",0
42,"isInSubnet(vpn,'alpine-3.18-openvpn-1')","LEAF",1
